# Histogrammed data for fix 14
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
609 31.425 5302.22 5.352e-06
610 31.475 5800.43 5.85489e-06
611 31.525 11057.9 1.11618e-05
612 31.575 5828.73 5.88345e-06
613 31.625 7520.94 7.59155e-06
614 31.675 11032.4 1.1136e-05
615 31.725 3449.19 3.48158e-06
616 31.775 3851.67 3.88783e-06
617 31.825 13618.4 1.37462e-05
618 31.875 13495.7 1.36224e-05
619 31.925 5573.09 5.62542e-06
620 31.975 2582.51 2.60676e-06
621 32.025 10087.5 1.01822e-05
622 32.075 6425.82 6.48615e-06
623 32.125 10443.8 1.05419e-05
624 32.175 629.2 6.35108e-07
625 32.225 11584.4 1.16932e-05
626 32.275 6531.8 6.59312e-06
627 32.325 9261.2 9.34815e-06
628 32.375 2516.48 2.54011e-06
629 32.425 15326.1 1.547e-05
630 32.475 5314.07 5.36396e-06
631 32.525 12284.8 1.24002e-05
632 32.575 2049.82 2.06907e-06
633 32.625 7346.46 7.41543e-06
634 32.675 8923.23 9.00701e-06
635 32.725 11002.7 1.1106e-05
636 32.775 2270.33 2.29165e-06
637 32.825 16959.3 1.71185e-05
638 32.875 2061.54 2.0809e-06
639 32.925 5515.22 5.56701e-06
640 32.975 1274.63 1.2866e-06
641 33.025 11807.3 1.19181e-05
642 33.075 7969.32 8.04414e-06
643 33.125 14371 1.45059e-05
644 33.175 1336.45 1.34899e-06
645 33.225 8889.05 8.97251e-06
646 33.275 5359.36 5.40968e-06
647 33.325 6356.17 6.41585e-06
648 33.375 9311.26 9.39868e-06
649 33.425 12402.8 1.25193e-05
650 33.475 7566.94 7.63799e-06
651 33.525 11973.3 1.20857e-05
652 33.575 5614.56 5.66727e-06
653 33.625 10431.8 1.05297e-05
654 33.675 5652.03 5.7051e-06
655 33.725 13584 1.37116e-05
656 33.775 474.186 4.78638e-07
657 33.825 13312.5 1.34374e-05
658 33.875 4116.58 4.15523e-06
659 33.925 11967.1 1.20794e-05
660 33.975 1434.07 1.44753e-06
661 34.025 12132 1.22459e-05
662 34.075 5004.76 5.05175e-06
663 34.125 8194.58 8.27152e-06
664 34.175 2022.43 2.04142e-06
665 34.225 10192.8 1.02885e-05
666 34.275 4958.51 5.00507e-06
667 34.325 14683.7 1.48215e-05
668 34.375 3662.66 3.69704e-06
669 34.425 10338.5 1.04356e-05
670 34.475 6537.37 6.59875e-06
671 34.525 17260.3 1.74224e-05
672 34.575 847.202 8.55156e-07
673 34.625 12424.1 1.25408e-05
674 34.675 8117.66 8.19387e-06
675 34.725 9336.36 9.42402e-06
676 34.775 7812.78 7.88613e-06
677 34.825 11531.4 1.16396e-05
678 34.875 9790.77 9.8827e-06
679 34.925 5410.02 5.46082e-06
680 34.975 3517.95 3.55098e-06
681 35.025 10491.1 1.05896e-05
682 35.075 7091 7.15758e-06
683 35.125 5503.24 5.55491e-06
684 35.175 11398.2 1.15052e-05
685 35.225 5533.19 5.58514e-06
686 35.275 6001.96 6.05831e-06
687 35.325 6472.64 6.53341e-06
688 35.375 14548.2 1.46848e-05
689 35.425 3904.61 3.94127e-06
690 35.475 15252.5 1.53957e-05
691 35.525 5324.64 5.37464e-06
692 35.575 8299.67 8.37759e-06
693 35.625 8581.03 8.6616e-06
694 35.675 11462.5 1.15701e-05
695 35.725 1079.63 1.08977e-06
696 35.775 11124.3 1.12287e-05
697 35.825 11198.4 1.13036e-05
698 35.875 4792.68 4.83768e-06
699 35.925 5145.18 5.19349e-06
700 35.975 13514.3 1.36412e-05
701 36.025 8566.24 8.64667e-06
702 36.075 4006.11 4.04372e-06
703 36.125 13804.8 1.39344e-05
